layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.0001,16,0.757201646090535,0.24279835390946503,0.8217542171478271,2.8151711664050007e-06
"(32,)",0.0001,32,0.7541152263374485,0.24588477366255146,0.4264392852783203,2.1681493886143158e-06
"(32,)",0.0001,64,0.727366255144033,0.27263374485596703,0.2472701072692871,1.8982621733263533e-06
"(32,)",0.0001,128,0.6954732510288066,0.30452674897119336,0.15147924423217773,1.716069090961687e-06
"(32,)",0.0001,256,0.668724279835391,0.33127572016460904,0.10946178436279297,1.6586643487359073e-06
"(32,)",0.0005,16,0.7839506172839507,0.21604938271604934,0.74788498878479,2.682606459202979e-06
"(32,)",0.0005,32,0.779835390946502,0.220164609053498,0.41727375984191895,2.1530502703468486e-06
"(32,)",0.0005,64,0.7746913580246914,0.22530864197530864,0.2674405574798584,1.9285902159020217e-06
"(32,)",0.0005,128,0.7685185185185185,0.2314814814814815,0.1522986888885498,1.74277306173611e-06
"(32,)",0.0005,256,0.7551440329218106,0.24485596707818935,0.10810685157775879,1.6551455134059298e-06
"(32,)",0.001,16,0.7860082304526749,0.21399176954732513,0.7534999847412109,2.721670371069652e-06
"(32,)",0.001,32,0.7860082304526749,0.21399176954732513,0.41882824897766113,2.1598675059502367e-06
"(32,)",0.001,64,0.7880658436213992,0.2119341563786008,0.23907208442687988,1.8887412863559189e-06
"(32,)",0.001,128,0.7788065843621399,0.2211934156378601,0.1527717113494873,1.7150672396152493e-06
"(32,)",0.001,256,0.7736625514403292,0.22633744855967075,0.11014461517333984,1.6615917703337567e-06
"(32,)",0.005,16,0.7890946502057613,0.2109053497942387,0.768225908279419,2.742514214539488e-06
"(32,)",0.005,32,0.7952674897119342,0.20473251028806583,0.41985249519348145,2.1598051095989627e-06
"(32,)",0.005,64,0.7890946502057613,0.2109053497942387,0.24548697471618652,1.8682990060832953e-06
"(32,)",0.005,128,0.7818930041152263,0.21810699588477367,0.15797090530395508,1.7507167408107939e-06
"(32,)",0.005,256,0.7880658436213992,0.2119341563786008,0.11211514472961426,1.661876227256101e-06
"(32,)",0.01,16,0.7921810699588477,0.20781893004115226,0.7711520195007324,2.743853740397843e-06
"(32,)",0.01,32,0.8024691358024691,0.19753086419753085,0.4056234359741211,2.1416102873501784e-06
"(32,)",0.01,64,0.7932098765432098,0.20679012345679015,0.24228358268737793,1.865190887461783e-06
"(32,)",0.01,128,0.7818930041152263,0.21810699588477367,0.152052640914917,1.7168166771045601e-06
"(32,)",0.01,256,0.7860082304526749,0.21399176954732513,0.10755419731140137,1.6571755751966112e-06
"(32,)",0.05,16,0.7788065843621399,0.2211934156378601,0.7446491718292236,2.705859359836045e-06
"(32,)",0.05,32,0.779835390946502,0.220164609053498,0.39182114601135254,2.121190788476333e-06
"(32,)",0.05,64,0.7808641975308642,0.21913580246913578,0.22345781326293945,1.839249283125031e-06
"(32,)",0.05,128,0.7808641975308642,0.21913580246913578,0.14223456382751465,1.701216007793961e-06
"(32,)",0.05,256,0.7932098765432098,0.20679012345679015,0.10709357261657715,1.6565539086571564e-06
"(64,)",0.0001,16,0.7736625514403292,0.22633744855967075,0.8396832942962646,2.861693836967422e-06
"(64,)",0.0001,32,0.7716049382716049,0.22839506172839508,0.47309041023254395,2.2297871041667148e-06
"(64,)",0.0001,64,0.7664609053497943,0.23353909465020573,0.2936890125274658,1.962758341928153e-06
"(64,)",0.0001,128,0.7417695473251029,0.2582304526748971,0.20370793342590332,1.8396345900695042e-06
"(64,)",0.0001,256,0.7088477366255144,0.29115226337448563,0.1536240577697754,1.7458080753118342e-06
"(64,)",0.0005,16,0.7901234567901234,0.2098765432098766,0.827207088470459,2.824008532584381e-06
"(64,)",0.0005,32,0.7901234567901234,0.2098765432098766,0.4742298126220703,2.259195595537709e-06
"(64,)",0.0005,64,0.7901234567901234,0.2098765432098766,0.29803895950317383,1.966721530022306e-06
"(64,)",0.0005,128,0.779835390946502,0.220164609053498,0.20195627212524414,1.809878153366528e-06
"(64,)",0.0005,256,0.779835390946502,0.220164609053498,0.15461111068725586,1.7468292563654841e-06
"(64,)",0.001,16,0.7932098765432098,0.20679012345679015,0.8323612213134766,2.822297736797635e-06
"(64,)",0.001,32,0.7901234567901234,0.2098765432098766,0.47350549697875977,2.258220051971327e-06
"(64,)",0.001,64,0.7942386831275721,0.20576131687242794,0.29917335510253906,1.9697953981119026e-06
"(64,)",0.001,128,0.7890946502057613,0.2109053497942387,0.19364619255065918,1.7697702716377186e-06
"(64,)",0.001,256,0.7849794238683128,0.21502057613168724,0.14928674697875977,1.739390618326627e-06
"(64,)",0.005,16,0.7777777777777778,0.2222222222222222,0.811896562576294,2.798105466825545e-06
"(64,)",0.005,32,0.7818930041152263,0.21810699588477367,0.48249387741088867,2.271469456814708e-06
"(64,)",0.005,64,0.779835390946502,0.220164609053498,0.29792094230651855,1.9689373025948394e-06
"(64,)",0.005,128,0.7911522633744856,0.20884773662551437,0.2096109390258789,1.8199633518999662e-06
"(64,)",0.005,256,0.7849794238683128,0.21502057613168724,0.15116429328918457,1.7134146735455383e-06
"(64,)",0.01,16,0.7818930041152263,0.21810699588477367,0.8186495304107666,2.80604372629914e-06
"(64,)",0.01,32,0.7839506172839507,0.21604938271604934,0.46465158462524414,2.2470817338581233e-06
"(64,)",0.01,64,0.7839506172839507,0.21604938271604934,0.2957942485809326,1.9661140107314497e-06
"(64,)",0.01,128,0.7860082304526749,0.21399176954732513,0.20092368125915527,1.9517550432125335e-06
"(64,)",0.01,256,0.7962962962962963,0.20370370370370372,0.1518573760986328,1.7421255020633966e-06
"(64,)",0.05,16,0.76440329218107,0.23559670781893005,0.8122913837432861,2.797819506915733e-06
"(64,)",0.05,32,0.7613168724279835,0.23868312757201648,0.4369015693664551,2.1846337067701083e-06
"(64,)",0.05,64,0.7674897119341564,0.23251028806584362,0.2654876708984375,1.922348357235894e-06
"(64,)",0.05,128,0.7623456790123457,0.23765432098765427,0.18009185791015625,1.7798675768506826e-06
"(64,)",0.05,256,0.7777777777777778,0.2222222222222222,0.13718366622924805,1.6990065391118027e-06
"(128,)",0.0001,16,0.7818930041152263,0.21810699588477367,0.9474689960479736,3.035653798773902e-06
"(128,)",0.0001,32,0.7736625514403292,0.22633744855967075,0.5910279750823975,2.444239776217462e-06
"(128,)",0.0001,64,0.772633744855967,0.22736625514403297,0.3946113586425781,2.1252449241014575e-06
"(128,)",0.0001,128,0.7510288065843621,0.2489711934156379,0.29559922218322754,1.9618185881810254e-06
"(128,)",0.0001,256,0.727366255144033,0.27263374485596703,0.24003958702087402,1.891259094148926e-06
"(128,)",0.0005,16,0.8055555555555556,0.19444444444444442,0.9905834197998047,3.09145457259842e-06
"(128,)",0.0005,32,0.7921810699588477,0.20781893004115226,0.5976402759552002,2.4570750911189265e-06
"(128,)",0.0005,64,0.7870370370370371,0.2129629629629629,0.39878368377685547,2.13167517587902e-06
"(128,)",0.0005,128,0.7829218106995884,0.21707818930041156,0.3153188228607178,1.9883212302698056e-06
"(128,)",0.0005,256,0.7777777777777778,0.2222222222222222,0.25678539276123047,1.9144008081757134e-06
"(128,)",0.001,16,0.8024691358024691,0.19753086419753085,0.9645290374755859,3.0588103425814346e-06
"(128,)",0.001,32,0.7962962962962963,0.20370370370370372,0.5777416229248047,2.3991096253105664e-06
"(128,)",0.001,64,0.7921810699588477,0.20781893004115226,0.38779497146606445,2.1147491707549902e-06
"(128,)",0.001,128,0.7921810699588477,0.20781893004115226,0.2846798896789551,1.9493114622672702e-06
"(128,)",0.001,256,0.7870370370370371,0.2129629629629629,0.24357962608337402,1.867488183157888e-06
"(128,)",0.005,16,0.7911522633744856,0.20884773662551437,0.9298152923583984,3.010013505730396e-06
"(128,)",0.005,32,0.7983539094650206,0.2016460905349794,0.5657768249511719,2.382671091830028e-06
"(128,)",0.005,64,0.7973251028806584,0.2026748971193416,0.395129919052124,2.1252159660352206e-06
"(128,)",0.005,128,0.7962962962962963,0.20370370370370372,0.29259777069091797,1.961142380687554e-06
