n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
1,256,0.01,256,0.8076131687242798,0.1923868312757202,0.49022817611694336,2.282094228927164e-06
5,32,0.0005,32,0.7921810699588477,0.20781893004115226,1.1698198318481445,3.36284413740526e-06
4,64,0.01,256,0.7860082304526749,0.21399176954732513,0.865839958190918,2.8718961182724974e-06
3,128,0.0001,32,0.7829218106995884,0.21707818930041156,4.06070351600647,8.102800833726314e-06
3,128,0.01,64,0.8045267489711934,0.19547325102880664,2.616536855697632,5.747070979323569e-06
6,32,0.01,128,0.7952674897119342,0.20473251028806583,0.5384516716003418,2.3462006874059708e-06
1,128,0.01,16,0.8065843621399177,0.1934156378600823,1.4538216590881348,3.8701436019232e-06
5,32,0.005,64,0.801440329218107,0.19855967078189296,1.1248719692230225,3.3337242016193157e-06
2,256,0.001,64,0.8127572016460906,0.18724279835390945,11.538557052612305,2.0967229384923502e-05
1,256,0.01,128,0.7993827160493827,0.2006172839506173,0.9092235565185547,3.003341686811543e-06
4,512,0.0005,256,0.7788065843621399,0.2211934156378601,36.01534986495972,6.298162395240951e-05
6,256,0.01,128,0.8055555555555556,0.19444444444444442,24.6264545917511,4.597850839199002e-05
5,64,0.005,64,0.7818930041152263,0.21810699588477367,1.5308067798614502,3.963953481043838e-06
5,512,0.001,64,0.7808641975308642,0.21913580246913578,118.69782304763794,0.00019671332199889063
5,128,0.005,64,0.7973251028806584,0.2026748971193416,6.903454065322876,1.2952841662595243e-05
5,64,0.005,256,0.7788065843621399,0.2211934156378601,1.5198817253112793,3.955739204397768e-06
4,512,0.0001,32,0.8168724279835391,0.1831275720164609,179.01285314559937,0.00029248032895918
1,64,0.0001,16,0.7736625514403292,0.22633744855967075,1.057821273803711,3.209410262773472e-06
6,32,0.0005,32,0.7880658436213992,0.2119341563786008,1.7261536121368408,4.2795630538752825e-06
3,128,0.0001,16,0.7901234567901234,0.2098765432098766,7.319726228713989,1.3388916604065768e-05
4,256,0.001,16,0.7983539094650206,0.2016460905349794,34.161375761032104,5.5949247218815395e-05
3,32,0.01,16,0.7942386831275721,0.20576131687242794,1.7459704875946045,4.336053194437978e-06
2,128,0.005,128,0.7870370370370371,0.2129629629629629,2.1073267459869385,4.928590441231703e-06
6,32,0.001,128,0.7860082304526749,0.21399176954732513,0.7555060386657715,2.6913703119212328e-06
5,256,0.05,128,0.7705761316872428,0.22942386831275718,21.018037796020508,3.84968067863721e-05
4,128,0.005,64,0.808641975308642,0.191358024691358,4.486857891082764,8.809287051174666e-06
3,64,0.0001,128,0.7788065843621399,0.2211934156378601,1.0063138008117676,3.1171691046736497e-06
5,64,0.01,16,0.7890946502057613,0.2109053497942387,3.9609792232513428,7.931543211983086e-06
4,128,0.005,256,0.7942386831275721,0.20576131687242794,6.5465919971466064,1.2847448067767477e-05
3,256,0.005,64,0.8148148148148148,0.18518518518518523,21.21197748184204,3.756934041208234e-05
3,512,0.005,256,0.7993827160493827,0.2006172839506173,23.175185203552246,4.008468698792967e-05
2,128,0.005,16,0.7901234567901234,0.2098765432098766,4.475201368331909,8.762383669198478e-06
1,32,0.0001,64,0.727366255144033,0.27263374485596703,0.2721395492553711,1.9304489001963606e-06
4,512,0.005,128,0.8004115226337448,0.19958847736625518,50.477595806121826,8.385760774967205e-05
6,256,0.01,64,0.7685185185185185,0.2314814814814815,48.86450958251953,8.377665780491982e-05
1,256,0.0005,64,0.7901234567901234,0.2098765432098766,0.8387763500213623,2.8628210037159927e-06
6,32,0.005,16,0.7829218106995884,0.21707818930041156,3.995598793029785,7.968804883295187e-06
5,64,0.0001,32,0.7788065843621399,0.2211934156378601,3.0719542503356934,6.460461832673099e-06
2,256,0.001,32,0.8076131687242798,0.1923868312757202,11.44705843925476,2.0220393150186458e-05
4,512,0.001,32,0.7911522633744856,0.20884773662551437,198.32723021507263,0.00032061553053750315
1,128,0.05,128,0.7890946502057613,0.2109053497942387,0.37637853622436523,2.098973197552108e-06
5,512,0.0005,128,0.8127572016460906,0.18724279835390945,65.62125396728516,0.00010789348383793617
3,64,0.001,32,0.8076131687242798,0.1923868312757202,1.868490219116211,4.5224596302563035e-06
1,512,0.05,256,0.7777777777777778,0.2222222222222222,1.1689209938049316,3.357126909027685e-06
6,64,0.05,16,0.6327160493827161,0.3672839506172839,2.3412282466888428,5.301393206764765e-06
3,64,0.0001,32,0.7993827160493827,0.2006172839506173,1.7233362197875977,4.273241192904758e-06
6,256,0.0005,16,0.7849794238683128,0.21502057613168724,54.18007159233093,8.777026192197496e-05
5,256,0.01,32,0.7973251028806584,0.2026748971193416,33.66339683532715,5.573806341156892e-05
5,32,0.0001,256,0.772633744855967,0.22736625514403297,0.6259505748748779,2.541403646057728e-06
4,256,0.01,256,0.8004115226337448,0.19958847736625518,9.937120199203491,1.9768926411183624e-05
5,32,0.01,32,0.7932098765432098,0.20679012345679015,1.8676879405975342,4.5334093935953195e-06
1,32,0.01,64,0.7932098765432098,0.20679012345679015,0.3561522960662842,2.0419277588648295e-06
4,512,0.01,32,0.7860082304526749,0.21399176954732513,178.30495476722717,0.00029046305379760686
5,32,0.0001,32,0.779835390946502,0.220164609053498,1.8696105480194092,4.51427801781574e-06
3,512,0.001,32,0.7860082304526749,0.21399176954732513,126.9515175819397,0.00020574323396422577
1,32,0.0005,128,0.7685185185185185,0.2314814814814815,0.2833695411682129,1.950224608896168e-06
3,128,0.005,64,0.8045267489711934,0.19547325102880664,2.9978387355804443,6.363178140535173e-06
4,256,0.001,256,0.8117283950617284,0.18827160493827155,11.639797925949097,2.2417274271595367e-05
1,512,0.005,16,0.7911522633744856,0.20884773662551437,2.3582847118377686,5.317743140754473e-06
1,512,0.01,256,0.7911522633744856,0.20884773662551437,1.3330326080322266,3.6431015402987934e-06
4,256,0.005,64,0.7860082304526749,0.21399176954732513,31.897331476211548,5.4420459240464766e-05
3,256,0.01,16,0.7757201646090535,0.22427983539094654,22.90858292579651,3.815559822125578e-05
3,128,0.0001,64,0.7818930041152263,0.21810699588477367,3.077636957168579,6.502535861280015e-06
5,64,0.0001,128,0.7932098765432098,0.20679012345679015,1.6980738639831543,4.242729353777412e-06
5,32,0.0005,64,0.7993827160493827,0.2006172839506173,1.1054539680480957,3.2759884658819604e-06
4,64,0.0001,32,0.7890946502057613,0.2109053497942387,2.31679105758667,5.239139948531063e-06
5,128,0.01,64,0.7716049382716049,0.22839506172839508,5.0290892124176025,9.714153878036012e-06
6,64,0.0001,128,0.7860082304526749,0.21399176954732513,2.071479320526123,4.853272828290462e-06
1,32,0.0005,64,0.7746913580246914,0.22530864197530864,0.33910417556762695,2.0209838535085467e-06
6,64,0.01,128,0.7860082304526749,0.21399176954732513,1.8763344287872314,4.539975268504836e-06
6,128,0.01,128,0.7870370370370371,0.2129629629629629,5.737886190414429,1.0851344969774409e-05
3,128,0.001,64,0.7983539094650206,0.2016460905349794,3.150657892227173,6.629866225048711e-06
5,32,0.0005,256,0.7942386831275721,0.20576131687242794,0.5852012634277344,2.4360776244192593e-06
5,64,0.0005,128,0.7932098765432098,0.20679012345679015,1.5763182640075684,4.047658373623366e-06
6,256,0.01,32,0.7870370370370371,0.2129629629629629,46.572657346725464,7.607765120830418e-05
3,32,0.0001,32,0.7746913580246914,0.22530864197530864,1.4065895080566406,3.7897280742514497e-06
2,128,0.005,32,0.7870370370370371,0.2129629629629629,2.9035909175872803,6.216295612511102e-06
4,128,0.01,128,0.7942386831275721,0.20576131687242794,4.48456597328186,8.917093684484598e-06
3,256,0.005,256,0.8004115226337448,0.19958847736625518,7.907869577407837,1.5657149802047553e-05
3,128,0.005,32,0.7962962962962963,0.20370370370370372,4.954402685165405,9.588705655715752e-06
2,32,0.001,32,0.7962962962962963,0.20370370370370372,0.9950459003448486,3.0959463729227267e-06
5,32,0.01,256,0.7777777777777778,0.2222222222222222,0.6275277137756348,2.5194335013127684e-06
1,512,0.0005,16,0.7952674897119342,0.20473251028806583,2.7888665199279785,6.011785468160246e-06
6,32,0.005,128,0.7829218106995884,0.21707818930041156,0.8198528289794922,2.8037612099597522e-06
3,256,0.005,16,0.8055555555555556,0.19444444444444442,24.480536699295044,4.0823301247015484e-05
1,128,0.005,16,0.7911522633744856,0.20884773662551437,1.2403123378753662,3.510641483824169e-06
3,32,0.01,128,0.7777777777777778,0.2222222222222222,0.442873477935791,2.2245769055954606e-06
5,256,0.0001,256,0.7962962962962963,0.20370370370370372,14.716147184371948,2.733889980428804e-05
5,512,0.005,32,0.8024691358024691,0.19753086419753085,258.3050467967987,0.0004181697653468554
