layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.05,256,0.7932098765432098,0.20679012345679015,0.11255764961242676,2.386832566587564e-06
"(64,)",0.0005,128,0.779835390946502,0.220164609053498,0.20376276969909668,2.24794927015139e-06
"(64,)",0.01,256,0.7962962962962963,0.20370370370370372,0.15873217582702637,2.9237418017474744e-06
"(128,)",0.001,32,0.7962962962962963,0.20370370370370372,0.5860838890075684,2.7711687992310573e-06
"(128,)",0.001,256,0.7870370370370371,0.2129629629629629,0.2551701068878174,2.299347702769613e-06
"(32, 32)",0.0005,256,0.7870370370370371,0.2129629629629629,0.19127988815307617,2.3707842857256932e-06
"(32, 32)",0.01,256,0.8117283950617284,0.18827160493827155,0.18008112907409668,2.967017787314941e-06
"(64, 64)",0.05,256,0.8004115226337448,0.19958847736625518,0.3567628860473633,2.909698501443912e-06
"(256, 256)",0.001,128,0.8189300411522634,0.18106995884773658,4.716310024261475,1.053116760335971e-05
"(32, 32, 32)",0.005,256,0.7973251028806584,0.2026748971193416,0.2596909999847412,2.811024963075553e-06
"(512, 512, 512, 512, 512, 512)",0.0001,64,0.8220164609053497,0.17798353909465026,115.87144160270691,0.0001866667686345364
