layers,lr,batch,val_acc,error,time_s,co2_kg
"(32,)",0.0001,16,0.757201646090535,0.24279835390946503,1.2256052494049072,4.662285298068589e-06
"(32,)",0.0001,32,0.7541152263374485,0.24588477366255146,0.6813933849334717,3.637080383108918e-06
"(32,)",0.0001,64,0.727366255144033,0.27263374485596703,0.4126424789428711,3.2717467149387384e-06
"(32,)",0.0001,128,0.6954732510288066,0.30452674897119336,0.26451706886291504,3.0806495382682457e-06
"(32,)",0.0001,256,0.668724279835391,0.33127572016460904,0.1482994556427002,2.9070683758624424e-06
"(32,)",0.0005,16,0.7839506172839507,0.21604938271604934,1.25388765335083,4.729734070790528e-06
"(32,)",0.0005,32,0.779835390946502,0.220164609053498,0.7810730934143066,3.7483274902030035e-06
"(32,)",0.0005,64,0.7746913580246914,0.22530864197530864,0.39377617835998535,3.2410587113591094e-06
"(32,)",0.0005,128,0.7685185185185185,0.2314814814814815,0.21433377265930176,2.9967437476344785e-06
"(32,)",0.0005,256,0.7551440329218106,0.24485596707818935,0.19893765449523926,3.0004572040956043e-06
"(32,)",0.001,16,0.7860082304526749,0.21399176954732513,1.1300125122070312,4.4627735238683626e-06
"(32,)",0.001,32,0.7860082304526749,0.21399176954732513,0.7022416591644287,3.636897931426549e-06
"(32,)",0.001,64,0.7880658436213992,0.2119341563786008,0.4511425495147705,3.3005462867424726e-06
"(32,)",0.001,128,0.7788065843621399,0.2211934156378601,0.23806977272033691,3.0275899193997792e-06
"(32,)",0.001,256,0.7736625514403292,0.22633744855967075,0.13358211517333984,2.876906093867684e-06
"(32,)",0.005,16,0.7890946502057613,0.2109053497942387,1.3061134815216064,4.85009190857035e-06
"(32,)",0.005,32,0.7952674897119342,0.20473251028806583,0.5745575428009033,3.4967287779508195e-06
"(32,)",0.005,64,0.7890946502057613,0.2109053497942387,0.3913884162902832,3.2282268903060383e-06
"(32,)",0.005,128,0.7818930041152263,0.21810699588477367,0.2637193202972412,3.0693937814733847e-06
"(32,)",0.005,256,0.7880658436213992,0.2119341563786008,0.15714550018310547,3.19196075460257e-06
"(32,)",0.01,16,0.7921810699588477,0.20781893004115226,1.3682503700256348,4.955328177571689e-06
"(32,)",0.01,32,0.8024691358024691,0.19753086419753085,0.7618608474731445,3.7469532990370204e-06
"(32,)",0.01,64,0.7932098765432098,0.20679012345679015,0.4384646415710449,3.290428239375153e-06
"(32,)",0.01,128,0.7818930041152263,0.21810699588477367,0.2378251552581787,3.043649165884661e-06
"(32,)",0.01,256,0.7860082304526749,0.21399176954732513,0.14313149452209473,2.4341790310906344e-06
"(32,)",0.05,16,0.7788065843621399,0.2211934156378601,1.1612789630889893,4.581504312126223e-06
"(32,)",0.05,32,0.779835390946502,0.220164609053498,0.6110453605651855,3.5155329667652896e-06
"(32,)",0.05,64,0.7808641975308642,0.21913580246913578,0.30716705322265625,3.1074506645969385e-06
"(32,)",0.05,128,0.7808641975308642,0.21913580246913578,0.23570656776428223,3.0687545753769735e-06
