n_layers,n_neurons,learning_rate,batch_size,error,time_s,co2_kg
1,32,0.01,256,0.21399176954732513,0.13220787048339844,2.7678204057262615e-06
1,64,0.001,64,0.20576131687242794,0.35616254806518555,2.968185018572891e-06
1,64,0.001,128,0.2109053497942387,0.26020336151123047,2.5553126883630796e-06
1,32,0.001,256,0.22633744855967075,0.13197851181030273,2.905741334502802e-06
1,32,0.01,128,0.21810699588477367,0.18906903266906738,2.739519258965803e-06
1,32,0.01,64,0.20679012345679015,0.2977433204650879,2.423824562458116e-06
1,64,0.01,256,0.20370370370370372,0.17389678955078125,2.9769159270773715e-06
1,32,0.05,256,0.20679012345679015,0.14096522331237793,2.9144099691992044e-06
2,256,0.001,128,0.18106995884773658,7.275823354721069,1.5120422295976592e-05
2,64,0.005,128,0.2016460905349794,0.666161060333252,2.8683156294284343e-06
2,32,0.01,256,0.18827160493827155,0.26126718521118164,3.05643310262549e-06
2,32,0.005,256,0.19958847736625518,0.25069594383239746,3.086529038123068e-06
