layers,lr,batch,val_acc,error,time_s,co2_kg
"(256,)",0.0001,64,0.7705761316872428,0.22942386831275718,0.5771608352661133,3.5049509238623696e-06
"(512, 512, 512, 512, 512, 512)",0.0005,64,0.801440329218107,0.19855967078189296,116.09958910942078,0.00017609048675611505
"(512, 512, 512)",0.01,128,0.8024691358024691,0.19753086419753085,24.34478259086609,4.154600156066142e-05
"(32, 32, 32, 32)",0.01,256,0.7911522633744856,0.20884773662551437,0.3025531768798828,3.1464726975541224e-06
"(512, 512, 512, 512)",0.005,256,0.8004115226337448,0.19958847736625518,20.884130239486694,3.624848377785936e-05
"(512, 512, 512, 512, 512, 512)",0.0001,128,0.8137860082304527,0.18621399176954734,60.22149205207825,0.00010998928319133245
"(256, 256)",0.001,32,0.8076131687242798,0.1923868312757202,6.936114072799683,1.3514381868240548e-05
"(256, 256, 256, 256)",0.001,16,0.7983539094650206,0.2016460905349794,24.63322639465332,4.02712825831935e-05
"(32, 32, 32)",0.001,32,0.7880658436213992,0.2119341563786008,0.8321194648742676,3.872168810029536e-06
"(64, 64, 64, 64)",0.001,16,0.7860082304526749,0.21399176954732513,2.5799808502197266,5.878229545287459e-06
"(32, 32)",0.01,64,0.7839506172839507,0.21604938271604934,0.3795907497406006,3.219742426237999e-06
"(512, 512)",0.05,256,0.7695473251028807,0.2304526748971193,8.766615152359009,1.6570485510434118e-05
"(32,)",0.05,128,0.7808641975308642,0.21913580246913578,0.1454906463623047,2.9008321145886003e-06
"(128, 128, 128)",0.001,256,0.8034979423868313,0.19650205761316875,1.9997694492340088,5.854575975382529e-06
"(128, 128, 128, 128)",0.01,128,0.7942386831275721,0.20576131687242794,2.670363187789917,6.724639746515234e-06
"(128, 128, 128, 128)",0.05,32,0.7561728395061729,0.24382716049382713,4.971189022064209,9.901296057712922e-06
"(128, 128, 128, 128)",0.0001,128,0.7921810699588477,0.20781893004115226,2.8770389556884766,7.085409359216421e-06
"(128, 128, 128, 128, 128)",0.05,128,0.7849794238683128,0.21502057613168724,3.228107213973999,7.357197653411533e-06
"(64, 64, 64)",0.01,16,0.7973251028806584,0.2026748971193416,1.9600672721862793,5.772386497257392e-06
"(64, 64)",0.005,256,0.8045267489711934,0.19547325102880664,0.42591238021850586,3.2800782149385935e-06
"(256, 256, 256, 256, 256, 256)",0.0005,32,0.8189300411522634,0.18106995884773658,25.336541414260864,4.159088312660751e-05
"(256, 256, 256)",0.0005,128,0.7993827160493827,0.2006172839506173,8.492721557617188,1.695910299639667e-05
"(256, 256, 256, 256)",0.0001,256,0.8034979423868313,0.19650205761316875,7.636145830154419,1.6744643141589363e-05
"(256, 256, 256, 256)",0.01,16,0.7808641975308642,0.21913580246913578,24.927207469940186,4.068674273818478e-05
"(128, 128, 128, 128, 128, 128)",0.0001,32,0.7901234567901234,0.2098765432098766,8.858668804168701,1.6379867216628017e-05
"(128, 128, 128, 128, 128)",0.05,256,0.779835390946502,0.220164609053498,3.4216604232788086,8.324025571012554e-06
"(256, 256, 256)",0.0005,64,0.8004115226337448,0.19958847736625518,11.067313194274902,2.1018184647520602e-05
"(64, 64, 64, 64, 64, 64)",0.01,32,0.7777777777777778,0.2222222222222222,2.086387872695923,5.863769017465387e-06
"(128, 128, 128, 128)",0.005,128,0.7921810699588477,0.20781893004115226,2.753572463989258,6.9738387706036735e-06
"(512, 512, 512, 512, 512)",0.001,16,0.7962962962962963,0.20370370370370372,319.2314758300781,0.00047599717077417597
"(128, 128, 128, 128, 128, 128)",0.0005,64,0.7952674897119342,0.20473251028806583,5.672826766967773,1.1703738897763451e-05
"(128, 128)",0.01,64,0.7952674897119342,0.20473251028806583,1.4085254669189453,4.629995146954591e-06
"(64,)",0.0005,32,0.7901234567901234,0.2098765432098766,0.4653441905975342,3.367306118736411e-06
"(256, 256, 256, 256, 256, 256)",0.05,32,0.7911522633744856,0.20884773662551437,24.31852889060974,3.8840741847874994e-05
"(256, 256, 256, 256)",0.0005,128,0.808641975308642,0.191358024691358,12.02417278289795,2.2638796649307353e-05
"(32, 32)",0.01,256,0.8117283950617284,0.18827160493827155,0.19060921669006348,2.987612407227069e-06
