n_layers,n_neurons,learning_rate,batch_size,val_accuracy,error,time_s,co2_kg
1,256,0.01,256,0.8076131687242798,0.1923868312757202,0.6562750339508057,3.598363368917757e-06
5,32,0.0005,32,0.7921810699588477,0.20781893004115226,2.196063280105591,6.050368748400376e-06
4,64,0.01,256,0.7860082304526749,0.21399176954732513,0.8589234352111816,3.932735587136022e-06
3,128,0.0001,32,0.7829218106995884,0.21707818930041156,4.385152578353882,9.459451180194238e-06
3,128,0.01,64,0.8045267489711934,0.19547325102880664,2.6560065746307373,6.7042562018072e-06
6,32,0.01,128,0.7952674897119342,0.20473251028806583,0.9748585224151611,4.172680460417397e-06
1,128,0.01,16,0.8065843621399177,0.1934156378600823,1.8323426246643066,5.545112933663457e-06
5,32,0.005,64,0.801440329218107,0.19855967078189296,1.4234850406646729,4.928307033639921e-06
2,256,0.001,64,0.8127572016460906,0.18724279835390945,13.63338589668274,2.4139884827213408e-05
1,256,0.01,128,0.7993827160493827,0.2006172839506173,0.6896812915802002,3.6220716710405516e-06
4,512,0.0005,256,0.7788065843621399,0.2211934156378601,38.25505757331848,6.0543714725332886e-05
6,256,0.01,128,0.8055555555555556,0.19444444444444442,21.178373098373413,3.804131697804702e-05
5,64,0.005,64,0.7818930041152263,0.21810699588477367,1.198012113571167,4.644300472261887e-06
5,512,0.001,64,0.7808641975308642,0.21913580246913578,89.64483666419983,0.00013706954123165552
5,128,0.005,64,0.7973251028806584,0.2026748971193416,4.568223237991333,9.525545640803535e-06
5,64,0.005,256,0.7788065843621399,0.2211934156378601,1.0259432792663574,4.243752905538023e-06
4,512,0.0001,32,0.8168724279835391,0.1831275720164609,128.0652780532837,0.0001968726658186748
1,64,0.0001,16,0.7736625514403292,0.22633744855967075,0.8029913902282715,3.8164426878500195e-06
6,32,0.0005,32,0.7880658436213992,0.2119341563786008,1.4442787170410156,4.927777387380738e-06
3,128,0.0001,16,0.7901234567901234,0.2098765432098766,6.501224994659424,1.243347187122906e-05
4,256,0.001,16,0.7983539094650206,0.2016460905349794,24.88451361656189,4.1302378208699925e-05
3,32,0.01,16,0.7942386831275721,0.20576131687242794,1.394545078277588,5.0105997512136086e-06
2,128,0.005,128,0.7870370370370371,0.2129629629629629,1.375950813293457,4.976852835382173e-06
6,32,0.001,128,0.7860082304526749,0.21399176954732513,0.5849971771240234,3.2556921928488736e-06
5,256,0.05,128,0.7705761316872428,0.22942386831275718,13.56225061416626,2.6048427565464884e-05
4,128,0.005,64,0.808641975308642,0.191358024691358,3.617119312286377,8.260043881939312e-06
3,64,0.0001,128,0.7788065843621399,0.2211934156378601,0.7138166427612305,3.716434466637364e-06
5,64,0.01,16,0.7890946502057613,0.2109053497942387,3.0968539714813232,7.496281522793133e-06
4,128,0.005,256,0.7942386831275721,0.20576131687242794,2.1998183727264404,6.139832641461374e-06
3,256,0.005,64,0.8148148148148148,0.18518518518518523,10.443926095962524,2.0668384388774445e-05
3,512,0.005,256,0.7993827160493827,0.2006172839506173,15.85559892654419,2.797536204384841e-05
2,128,0.005,16,0.7901234567901234,0.2098765432098766,3.9490325450897217,8.843351641534294e-06
1,32,0.0001,64,0.727366255144033,0.27263374485596703,0.24609088897705078,3.0601491153069483e-06
4,512,0.005,128,0.8004115226337448,0.19958847736625518,36.0171012878418,5.761169338361928e-05
6,256,0.01,64,0.7685185185185185,0.2314814814814815,23.191833019256592,4.02354689988144e-05
1,256,0.0005,64,0.7901234567901234,0.2098765432098766,0.5937459468841553,3.5000422733096328e-06
